legal_name,purpose
Zweite Treucan Vermögensverwaltungsgesellschaft mbH,Verwaltung eigenen Vermögens.
Fußboden-Studio Heubaum GmbH,"Gegenstand des Unternehmens ist die Lieferung, der Verkauf und die Verlegung von Fußbodenbelägen aller Art einschließlich Zubehör."
SEPATRON GmbH,"Dienstleistungen auf dem Gebiet der Reproduktionsbiotechnologie, insbesondere durch Verwertung eigener Verfahren und Patente. Die Gesellschaft stellt auch Substanzen und Geräte für diese Verfahren her oder läßt sie herstellen und vertreibt sie."
Dr.-Leo-Ritter-Straße Regensburg Verwaltungs GmbH,"Beteiligung als Komplementär an der und Ubernahme der Geschäftsführung und Verwaltung der (in Gründung befindlichen) Dr. Leo-Ritter-Straße Verwertungs GmbH & Co. Betriebs KG mit dem Sitz in Regensburg, deren Unternehmensgegenstand Erwerb und Verwertung des Grundstücks der Gem. Regensburg Fl.Nr. 3829/40 Nähe Dr.-Leo- Ritter-Straße, Verkehrsfläche zu 4850 m2 ist."
Mein-PopArt-Shop.de UG (haftungsbeschränkt),Herstellung und Vertrieb von gedruckten Bildern im Internet und auf anderen Vertriebswegen.
Autohaus Ringshausen GmbH,"Gegenstand des Unternehmens ist der Ankauf, der Verkauf, der Vertrieb sowie die Reparatur und Ausrüstung von Kraftfahrzeugen aller Art sowie die Vermietung von Kraftfahrzeugen."
Hanseatische Grundstücks- und Vermögensverwaltungsgesellschaft Seifert & Co. m.b.H.,"Gegenstand der Gesellschaft ist die Verwaltung von Grundstücken oder Anteilen an denselben, sowie die Verwaltung eigenen Vermögens. Die Ausübung des Haus- und Immobilien- Maklergewerbes."
GeWoh UG (haftungsbeschränkt),Die Übernahme der Handelsvertretung für Fertighäuser und die Übernahme der Handelsvertretung für Bauelemente und allen damit direkt oder indirekt zusammenhängenden Tätigkeiten.
Romath GmbH,Handel mit Textilien aller Art sowie Accessoires.
Goyaa GmbH,Erstellung von Software Programmen.
profina - Dr. Oberhauser - GmbH,"a) der Vertrieb und die Vermittlung von Kapitalanlagen, b) die Analyse und Konzeption von Kapitalbeteiligungsangeboten, c) die Betreuung von Bauvorhaben, d) die Vermittlung von Finanzierungen, e) die Durchführung aller Hilfs- und Nebengeschäfte, die geeignet sind, den Gesellschaftszweck unter a) bis d) zu fördern und ihm zu dienen."
oikotec Ingenieur innen GmbH,"Ingenieursdienstleistungen im Bereich Sanitärsysteme, Niederschlagsentwässerung, Energieeffizienz und nachhaltige ökologische Baustoffe sowie in diesem Zusammenhang anfallende erlaubnisfreie Serviceleistungen"
UBG-Unternehmensbeteiligungs- und Verwaltungs-GmbH,"Die Übernahme der Stellung als persönlich haftende Gesellschafterin in der Kommanditgesellschaft unter der Firma ""UBG-Unternehmensbeteiligungs GmbH & Co. KG"" mit dem Sitz in Königswinter"
2G Capital Partners GmbH,"Die Beratung von Fondsgesellschaften in Marketingstrategien bezüglich des Marktzugangs und der Akquisition von Eigen- oder Fremdkapital sowie die Beratung von institutionellen Investoren, soweit hierfür keine besondere Erlaubnis erforderlich ist."
Deutsches Rotes Kreuz Kinder- und Jugendhilfe Dresden gemeinnützige GmbH,"Jugendarbeit, Jugendsozialarbeit, erzieherischer Kinder- und Jugendschutz, Förderung der Erziehung in der Familie, Förderung von Kindern in Tageseinrichtungen und in Tagespflege, Hilfe für Erziehung, Eingliederungshilfe für geistig und seelisch behinderte Kinder und Jugendliche, Hilfe für junge Volljährige. Der Gesellschaftszweck wird insbesondere verwirklicht durch das Betreiben von Kindertagesstätten und Kinderheimen, durch betreutes Jugendwohnen, die Betreuung von Jugendlichen in ihrer eigenen Wohnung und die Durchführung von Familienarbeit."
Per Secura Versicherungs- und Immobilienvermittlungs-GmbH,"Die Beratung über und die Vermittlung von Versicherungen und Bausparverträgen sowie die Verwaltung von Versicherungsund Bausparagenturbeständen. Weiter ist Gegenstand die Vermittlung des Abschlusses von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume oder Darlehen."
Zöller & Born GmbH,"Gegenstand des Unternehmens ist die Stellung eines persönlich haftenden Gesellschafters der Firma Zöller & Born GmbH & Co. KG mit dem Sitz in Hillscheid, die ihrerseits die Verwaltung von Vermögensgegenständen zum Gegenstand hat."
Titan Gebäudereinigungsgesellschaft mbH,"Gebäudereinigung, Hausverwaltungen, und Hausmeisterservice, Holz- und Bautenschutz, Abfallbeseitigung und Abbrucharbeiten, Ausführung von Arbeiten im Bereich des Garten- und Landschaftsbaus, Vermietungen und Verpachtungen sowie sonstige dem Gegenstand des Unternehmens dienende Geschäfte."
MS Transport GmbH,"Der Transport von Gütern aller Art, die Paketzustellung, die Vermittlung von Frachten sowie der grenzüberschreitende Güterkraftverkehr."
SEE Event GmbH,Gegenstand geändert; nun: Betrieb und Verpachtung von gastronomischen Einrichtungen sowie Eventveranstaltungen
etrovi.de GmbH,"Herausgabe, Verlag, Druck und Vertrieb von Presse- und sonstigen Verlagserzeugnissen aller Art, insbesondere im Bereich der Informationstechnologie, Betätigung in allen Bereichen neuer Medien sowie Internet-Aktivitäten aller Art"
BIOIBERICA Services GmbH,"Gegenstand der Gesellschaft ist die Beteiligung an Unternehmen, die die bioindustrielle Verarbeitung organischer Stoffe und den Handel mit solchen Stoffen sowie ihren Produkten zum Gegenstand haben sowie die Sammlung, der Transport und die Behandlung dieser Stoffe, der Betrieb der Verarbeitungsanlagen sowie der Handel mit den organischen Stoffen und Produkten."
Rösl Bauunternehmen GmbH Regensburg,Durchführung von Maurer- und Straßenbauarbeiten. Das Unternehmen der Gesellschaft führt ferner aus Garten- und Landschaftsbau Abbruch und Entsorgung Teichentschlammung Tankstellenbau Arbeiten nach dem Wasserhaushaltsgesetz (WHG) Spezial-Tiefbau
Hacoda Vertriebs GmbH,"Die Produktion und Vertrieb von Metallwaren aller Art. Die Gesellschaft ist berechtigt, Zweigniederlassungen zu errichten und andere Unternehmen gleicher oder ähnlicher Art zu übernehmen oder sich an solchen auch als persönlich haftende Gesellschafterin zu beteiligen. Die Gesellschaft ist zu allen Geschäften und Rechtshandlungen befugt, die ihrer Hauptaufgabe zu dienen bestimmt sind. Die Gesellschaft ist weiter berechtigt, alle Geschäfte vorzunehmen, die dem GeselIschaftsgegenstand dienlich sind oder die im Interesse der Gesellschaft oder Gesellschafter liegend erachtet werden."
Ann-Sophie 25 SC FIII Holding GmbH,"Erwerb, Halten, Verwalten und Verwerten von Beteiligungen und Vermögensanlagen aller Art sowie Erbringung von Dienstleistungen im Zusammenhang damit, soweit hierfür keine behördliche Genehmigung erforderlich ist."
DREIKANT Bauträgergesellschaft mbH,"ist in gewerbsmäßiger Weise der Erwerb und die Veräußerung von Grundstücken und grundstücksgleichen Rechten, die Vermittlung von Grundstücksgeschäften , die Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen, für eigene oder fremde Rechnung, die wirtschaftliche Vorbereitung oder Durchführung von Bauvorhaben als Baubetreuer im fremden Namen für fremde Rechnung, insbesondere im Hinblick auf die Instandsetzung und Modernisierung von historischen Gebäuden sowie die Errichtung von Neubauten."
Kap + Inv GmbH,"- die Bereitstellung von Beteiligungskapital an kleinere und mittlere Unternehmen - die Erbringung von Beratungs- und Dienstleistungen aller Art, die im Zusammenhang mit der Bereitstellung von Beteiligungskapital und der wirtschaftlichen Betreuung und Beratung der Beteiligungsnehmer erforderlich sind - ausgenommen Steuer- und Rechtsberatung -, der An- und Verkauf sowie die Vermietung und Verwaltung von beweglichen Wirtschaftsgütern."
Teichmann Bau GmbH,"Ausführung von Hoch-, Tief-, Straßen- und Ingenieurbaumaßnahmen einschließlich deren Planung und Bauleitung sowie Durchführung von schlüsselfertigen Bauvorhaben"
Autosattlerei Torringen GmbH,"Gegenstand des Unternehmens ist der Betrieb einer Autosattlerei. Die Gesellschaft ist - im In- und Ausland - berechtigt: - ihre Tätigkeit auf andere verwandte Gebiete auszudehen; - alle Geschäfte und Arbeiten, die zur Durchführung des Geschäftszweckes oder im Interesse der Gesellschaft unmittelbar oder mittelbar erforderlich oder dienlich sind, selbst vorzunehmen oder durch Dritte ausführen zu lassen; - die Vertretung von Geschäftsunternehmen gleicher oder ähnlicher Art zu übernehmen; - Zweigniederlassungen zu errichten; - Geschäftsunternehmen gleicher oder ähnlicher Art zu erwerben oder zu gründen; sich an Geschäftsunternehmen gleicher oder ähnlicher Art zu beteiligen, auch als persönlich haftende und geschäftsführende Gesellschafterin einer anderen Gesellschaft."
PST Computer Electronic Import-Export GmbH,"-selbst und/oder durch Dritte - Entwicklung und Vertrieb von Computerund Elektronikprodukten aller Art als komplette Anlagen und/oder in Teilen einschließlich Hard- und Software mit Peripherie, Zubehör und Ersatzteilen sowie Unterhaltungselektronik nebst Schulung an derartigen Produkten im In- und Ausland mit Ausnahme von solchen Industrieprodukten, bei denen der Handel einer besonderen Genehmigung bedarf (Import-Export);"
Hrch. Lennartz GmbH,"der Betrieb eines Baustoffgroßhandels und eines Floristikunternehmens, der Handel mit Blumen, der Garten- und Landschaftsbau, die Verwaltung eigenen und fremden Grundbesitz sowie die Pflege von eigenen und fremden Grundbesitzes, ferner die Modernisierung von Altbauten, jedoch keinerlei Tätigkeiten, zu denen eine Erlaubnis nach § 34 c Gewerbeordnung erforderlich ist."
monkey mac jones adventures UG (haftungsbeschränk),Gegenstand des Unternehmens ist die Entwicklung und der Vertrieb von Computerspielen.
Gerhard Schaller Verwaltungs-GmbH,"Der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Firma Gerhard Schaller GmbH & Co. KG in Neustadt b. Coburg, deren Gegenstand die Verwaltung des eigenen Vermögens, insbesondere des Grundbesitzes in Neustadt b. Coburg, OT Meilschnitz, sowie das Erbringen von Bauleistungen im Hochund Tiefbau, ist."
MK Helicopter GmbH,Die Entwicklung und der Vertrieb von Helicoptern
Pol-Power GmbH,"Die Durchführung von Elektroinstallationen sowie Planung und Errichtung von Elektroanlagen und Planung, Errichtung und Instandhaltung von wassertechnischen und wärmetechnischen Anlagen."
elbondoo UG (haftungsbeschränkt),"Online-Plattform zum Erstellen, Suchen, Finden, Buchen, Zahlen, Managen, Bewerben von Kursen, Workshops, Seminaren; Nutzungsüberlassung von Kurs-, Seminar-, Konferenzräumen inklusive Ausstattung; Kurse, Seminare, Workshops, Vertrieb von Video-Podcast (Netcast), effiziente Raumnutzungskonzepte."
Salon Bauer GmbH,Der Betrieb von Friseursalons
HBS Bühner Gesellschaft mit beschränkter Haftung,"1. Holz- und Bautenschutz. 2. Die Gesellschaft ist berechtigt, alle zu Ziffer 1. erforderlichen Geschäfte zu betreiben. Hierzu gehört auch die Errichtung von Zweigniederlassungen und deren Schließung. 3. Gegenstand des Unternehmens ist weiter die Beteiligung an anderen Unternehmen, insbesondere die Übernahme der Rechtsstellung einer persönlich haftenden Gesellschafterin in Kommanditgesellschaften."
SPR Montage GmbH,Gegenstand des Unternehmens ist die Montage von Anlagen zur Erzeugung regenerativer Energie.
Pernpointner Verwaltungs GmbH,"Erwerb und Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Pernpointner GmbH & Co. KG, welche die Verwaltung und Verpachtung des eigenen Vermögens zum Gegenstand hat."
Dietz Automation GmbH,"Planung, Entwicklung Fertigung, Ausführung, Vertrieb, Inbetriebnahme und Überwachung von daten-, mess, steuer und regel-, informations- und fernmeldetechnischen Anlagen"
MERKUR Zwölfte GmbH,Verwaltung eigenen Vermögens
GMD Technologies UG (haftungsbeschränkt),"der Handel und Außenhandel mit Waren aller Art, insbesondere mit technischen Produkten der chemischen Industrie sowie die Vermittlung von Handelsgeschäften mit diesen Produkten zwischen russischen und ausländischen Firmen."
Otto Barth GmbH,"Betrieb eines Schaustellergewerbes. Es handelt sich hier um einen Polypen mit Bezeichnung ""Octopussy"""
DMC Holding GmbH,"ist die Vermögensverwaltung und die damit verbundenen Tätigkeiten, insbesonderen der Erwerb , das Halten, die Verwaltung, die Veräußerung und sonstige Verwertung von Unternehmensbeteiligungen sowie aller damit im Zusammenhang stehender Geschäfte"
Büchner Kommunikations-Netzwerke GmbH,"Die Planung und Realisierung, der Verkauf und die Wartung von Computer-Netzen, Telekommunikationsanlagen und computergerechten Büros, ferner der Bau und die Wartung von Elektroanlagen jeder Art."
A + G Lifescience GmbH,"Herstellung und Vertrieb von Arzneimitteln, Medizinprodukten und Nahrungsergänzungsmitteln;"
Agricon GmbH,"Beratung, Entwicklung, Herstellung, Vertrieb und Service über, von und an Systemen zur Digitalisierung in Land- und Forstwirtschaft, Gartenbau und umweltnahen Wirtschaftsbereichen"
Johannsmeier International EWIV,"Gegenstand der EWIV ist der grenzüberschreitende, europaweite Ausbau der Tätigkeiten der Mitglieder, insbesondere durch Kooperation im Bereich von gemeinsamer Geschäftsentwicklung (Business Development), ebenso von gemeinsamer Entwicklung und dem Angebot (design und delivery) von Projekten, Dienstleistungen und Produkten, im Bereich der gemeinsamen Konseption und Optimierung von Geschäftsprozessen einschliesslich des IT-Bereichs, sowie koordinierten Kontakten zu Anbietern von Hardware, Software sowie anderer Dienstleistungen. Insebsondere kann die EWIV tätig werden in den Bereichen Organisationsentwicklung und -beratung sowie Coaching und Managementberatung, jeweils damit zusammenhängender Forschung, Fort- und Weiterbildung, Personalaustausch, Strategieerarbeitung und Know how-Transfer, aber auch in anderen, auch zukünftig relevanten Bereichen. Die EWIV kann seitens ihrer Mitglieder ebenfalls gemeinsam Outsourcing oder bestimmte Tätigkeiten für ihre Mitglieder einschließlich verbundener Unternehmen betreiben. Sie wird im Immobilienbereich im weitestens Sinne, einschließlich der Immobilienprojektentwicklung, tätig, aber auch bei der Verwaltung von Mobilien, auch für Gesellschafter der Mitglieder bzw. verbundene Unternehmen. Sie bildet gemeinsame Rücklagen, namentlich für entsprechende Konjunkturlagen, Marketingaktivitäten, Garantie- und Nachbesserungsrücklagen, für Rechtsverfolgung und -beratung usw. Die EWIV kann auch als Marketing-, Werbe-, Vertriebs- und Einkaufsgemeinschaft für ihre Mitglieder oder die mit ihnen vertraglich verbundenen Organisationen tätig werden. Sie kann auch Ein- und Verkaufsplattformen für ihre Mitglieder bzw. dritte Unternehmen anbieten. Die EWIV kann Leistungen ihrer Mitglieder für diese direkt per eigener Rechnung abrechnen. Die Mitglieder können Betriebskosten durch die EWIV begleichen lassen. Gegenstand der EWIV ist auch der internationale Informations- und Erfahrungsaustausch sowie die Vermittlung von Know-how, die Abhaltung von Workshops, Seminaren, Konferenzen und anderen Veranstaltungen, sowie die Erstellung und Herausgabe von bzw. die Werbung für und der Vertrieb von Publikationen in jeder Form, und die Zusammenarbeit mit europäischen und internationalen öffentlichen, privaten und Nichtregierungs-Organisationen. Die EWIV kann vertragliche Beziehungen mit anderen Unternehmen und Organisationen unterhalten. Sie kann unselbstständige Projektbüros oder Informationsstellen eröffnen. Die EWIV kann auch geistiges Eigentum (Copyrights, Marken, Lizenzen, Patente, Franchisingrechte usw.) in eigenem Namen, für Mitglieder oder Dritte verwalten und verwerten. Sie kann auch eigene Franchisingsysteme bzw. solche für die Mitglieder erstellen. Die EWIV arbeitet nicht auf wirtschaftlichen Gewinn ausgerichtet."
LLS Light for Lifescience GmbH,"Entwicklung, klinische Erprobung, Produktion und Vertrieb von medizintechnischen Instrumenten, Apparaten und Verfahren zur optischen Diagnostik und damit verbundener Verfahren sowie sämtliche damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte. Die Gesellschaft ist ferner berechtigt, Unternehmensverträge, insbesondere Gewinnabführungs- und Beherrschungsverträge abzuschließen"
Carousel Film UG (haftungsbeschränkt),"Die Talentförderung sowie die Entwicklung, Finanzierung und Herstellung aller Arten von Stoffen und medialen Formaten insbesondere Podcasts, Filme und Serien in Eigen- und Fremdproduktion sowie alle im Zusammenhang damit entstehende Geschäfte."
FDL Fulfillment-Services UG (haftungsbeschränkt),"Gegenstand des Unternehmens ist Fulfillment-Service. Dies umfasst alle Aktivitäten von Bestelleingang über Lagerhaltung, Kommissionierung, Versandabwicklung und Retourenbearbeitung bis hin zu umfangreichem Reporting und Führung von Online-Shops. Des Weiteren wird ein Komplettpaket für Onlineshops angeboten; dies reicht von Übersetzungen bis zu dem tagtäglichen Kundenservice. Ausgenommen sind erlaubnispflichtige Tätigkeiten jeder Art, sofern nicht eine Erlaubnis vorliegt."
Cotec Beschichtungssysteme GmbH,"Entwicklung und Anwendung von Beschichtungs- und Abdichtungssystemen jeder Art, Ausführung und Vergabe einschlägiger Werkleistungen sowie Beratung auf diesem Gebiet."
avama Gesellschaft für Advanced Marketing mbH,"Gegenstand des Unternehmens sind Internet-Dienstleistungen, insbesondere Online- Marketingdienstleistungen und Projektmanagement im e-Commerce- Bereich."
wesernetz Stuhr Beteiligungs-GmbH,"Die Beteiligung an und die Verwaltung von Gesellschaften gleich welcher Rechtsform, insbesondere die Übernahme der persönlichen Haftung in und die Beteiligung an wesernetz Stuhr GmbH & Co. KG."
Horn Massivbau Gesellschaft mit beschränkter Haftung,"ist der Betrieb eines Bauunternehmens, der Handel mit Baustoffen aller Art sowie die Errichtung von Gebäuden auf eigenem Grund und Boden und deren Verkauf außerhalb des Anwendungsbereiches des § 34 c GewO."
MEFCO Chemie- und Maschinenhandels GmbH,"Handel einschließlich Import und Export mit Chemieerzeugnissen, mit Maschinen und Motoren einschließlich allem Zubehör, Handel von Stahlprodukten - fertigen und halbfertigen - und Handel mit Stahl insgesamt."
RIM Real Invest München GmbH,"Ankauf, Verkauf und Vermittlung von Immobilien."
SCF Corporate Services GmbH,"konzerninterne Erbringung von Beratungsund Dienstleistungen an den Gesellschafter sowie an Unternehmen, die mit dem Gesellschafter im Sinne der §§ 15ff. AktG verbunden sind. Hierzu zählen allgemeine Dienstleistungen, insbesondere in den Bereichen Einkauf, Personalverwaltung, Gebäude- und Flächenmanagement, Fuhrparkverwaltung, Rechnungswesen, Controlling und IT- Systeme sowie projektbezogene Dienstleistungen unter anderem in den Bereichen Engineering, Design, Kalkulation, Lager und Logistik. Es werden keine Beratungs- oder Dienstleistungen erbracht, die einer öffentlich-rechtlichen Erlaubnis unterliegen oder aufsichtspflichtig sind."
Mauerwerk Schutz UG (haftungsbeschränkt),Vertrieb von Produkten des Mauerwerkschutzes
Kontakt Büro Messtechnik GmbH,"Handel mit Messtechnik und Technologien für erneuerbare Energien, z.B. Solarkomponenten, sowie Kalibrierung und Zertifizierung von Messgeräten, KFZ- Vermietung, Handel mit Längenmessgeräten (Schiebern, Mikrometern, Messuhren, Gewindedornen usw.), elektrischen Messgeräten (Spectrum-analysern, Signal-Generatoren, Kalibratoren und weiteren verschiedenen elektrischen Messzeugen), Kauf und Verkauf von Messzeugen sowie Vermietung von Schiffhafenplätzen (Segelboot bis 13 Meter)"
BILDERMEISTER Verwaltungs GmbH,"Geschäftsführung, Vertretung und Übernahme der persönlichen Haftung bei anderen Gesellschaftern, insbesondere bei der ""BILDERMEISTER GmbH & Co. KG"" mit dem Sitz in 84389 Postmünster."
SVEA Verwaltungsgesellschaft mbH,"Übernahme der Komplementär- und Geschäftsführungsfunktionen in Gesellschaften, deren Gegenstand die Entwicklung und Betreuung von Projekten aller Art, insbesondere aus dem Bereich der Informationstechnologie, der Medienwirtschaft, der Industrieproduktion und der Bauwirtschaft einschließlich der Bereiche Finanzierung, Marketing, Vertrieb und Produktion sowie aller damit zusammenhängendenoder ähnlichen Geschäfte ist."
König-Strategie GmbH,Beratung und Begleitung von Unternehmen und Organisationen bei der Entwicklung und Umsetzung ihrer Unternehmensstrategie.
Reifen- und Autoservice Herford GmbH,Handel mit und Montage von Autoreifen sowie anderen Zubehörteilen für Personenkraftwagen
Getränkemarkt Valentiner GmbH,"der Erwerb und die Veräußerung von Getränken, Lebensmittel und Waren aller Art."
tectro Spielwaren GmbH,Herstellung von Spielwaren insbesondere im Bereich Elektronik und Technik
Steinzentrale Nord Leeuwis GmbH,"Die Herstellung und der Vertrieb von Baustoffen und ähnliche Geschäfte, insbesondere der Vertrieb von Verblend- und Pflastersteinen."
Vipharm-Verwaltung GmbH,ist die Führung und Verwaltung als Komplementär in der noch zu gründenden Vipharm-Trading GmbH & Co. KG.
per se! - Digitale Drucktechnik Verwaltung GmbH,Die Übernahmer der persönlichen Haftung und Geschäftsführung in anderen Gesellschaften.
[matw] Verwaltungsgesellschaft mbH,"Die Beteiligung als persönlich haftende Gesellschafterin an der ""[matw] menatwork GmbH & Co KG"", deren Geschäftsgegenstand gerichtet ist auf den Handel mit Elektronikprokukten und Elektronikzubehör."
S.E.M. Holding GmbH,das Halten und Verwalten von Gesellschaftsbeteiligungen.
IMMOBER Immobilien- und Verwaltungsgesellschaft mbH,"Die Geschäftsführung und Vertretung der IMMOBER GmbH & Co. KG mit dem Sitz in Berlin als deren persönlich haftende Gesellschafterin, deren Gegenstand der Kauf, der Verkauf, die Verwaltung und die Vermietung von Immobilien ist."
Gebäudereinigung und Dienstleistungen GmbH Peilstöcker,"die Gebäudereinigung, Werterhaltung, Glasreinigung, Unterhaltsreinigung und Dienstleistungen wie Wachdienst, Pförtnerdienst, Gartenpflege, Parkplatzreinigung, Küchendienste und Aktenvernichtung."
ASG Automobile & Service GmbH,"Vertrieb von neuen und gebrauchten Kraftfahrzeugen, Kraftfahrzeugzubehör und Ersatzteilen, der Betrieb von Kraftfahrzeugreparaturwerkstätten und die Autovermietung, das Fahrzeug- und Flottenmanagement , Servicedienstleistungen sowie die Ausübung aller mit einem Kraftfahrzeugbetrieb zusammenhängenden Geschäften."
Karakus Projekt Bau GmbH,Maurer- und Betonbauarbeiten
Wesbuer Verwaltungs-GmbH,"Übemahme der Stellung einer persönlich haftenden Gesellschafterin in die Kommanditgesellschaft Theodor Wesbuer GmbH u. Co. sowie deren Geschäftsführung und Vertretung. Die Gesellschaft kann sich auch an anderen Unternehmen beteiligen, diese erwerben oder Zweigniederlassungen errichten und sämtliche Geschäfte betreiben, die geeignet sind, den Zweck der Gesellschaft zu fördern."
1 A Hallen- und Stahlbau Krings & Sieger Gewerbebau GmbH,"Die Konzeption, der Vertrieb, die bautechnische Abwicklung und Betreuung von Gewerbebauten mit deren Einzelkomponeten, welche durch Dritte errichtet werden. Sie betreibt ein Vertriebsbüro der Krings & Sieger GmbH & Co. KG."
Reisedienst Herbert Stürtz Gesellschaft mit beschränkter Haftung,Personenbeförderung im Gelegenheits- und Linienverkehr.
W + ST Revision GmbH Wirtschaftsprüfungsgesellschaft,"Gegenstand des Unternehmens sind die für Wirtschaftsprüfungsgesellschaften gesetzlich und berufsrechtlich zulässigen Tätigkeiten, die Durchführung betriebswirtschaftlicher Untersuchungen, die Erstellung von Gutachten, die Mitwirkung bei Verträgen sowie die Beratung in wirtschaftlichen und steuerlichen Fragen einschließlich der Vertretung vor Behörden und Gerichten. Die Gesellschaft kann alle Geschäfte ausführen, die zur Erreichung und Förderung des Geschäftszweckes dienlich erscheinen. Sie ist berechtigt, sich an anderen Gesellschaften ähnlicher Art zu beteiligen oder gleichartige Unternehmen zu erwerben. Sie darf auch Zweigniederlassungen errichten, soweit die berufsrechtlichen Voraussetzungen dafür erfüllt sind. Handels- und Bankgeschäfte sind ausgeschlossen."
Allgäuvet GmbH,Deutschlandweite Herstellung sowie Export von Agrarprodukten.
DIH Immobilienverwaltungsgesellschaft mbH,"Erwerb, Verwaltung und Vermietung von Immobilien."
Geotherm Spezialbau Müller GmbH,"Die Errichtung, Herstellung, das Betreiben und der Handel/Vertrieb von Erdsonden- und Wärmeanlagen."
"Blue Diamant International Limited, Zweigniederlassung Deutschland","Das Event-/und Diskothekenmanagement, die Unternehmensberatung sowie die Erbringung von Vertriebsdienstleistungen."
CIMONUSA Beteiligungsgesellschaft mbH,"Die Projektentwicklung auf eigenem und fremdem Grundbesitz im eigenen Namen und für Dritte, der Erwerb, die Veräußerung, Vermietung und Verwaltung von eigenem und fremdem Grundbesitz, das Bauträgergeschäft, das Halten und Verwalten von Beteiligungen, das Vermittlungsgeschäft von Verträgen über Immobilien und Finanzierungen sowie das Immobilien-Management."
SSW Holding GmbH,"Der Erwerb, das Halten, das Verwalten und die Veräußerung von Beteiligungen sowie sonstigen Vermögensgegenständen jeder Art im In- und Ausland, soweit eine Erlaubnis nicht erforderlich ist, sowie die Übernahme der persönlichen Haftung und der Geschäftsführung von Handelsgesellschaften."
NATURA-HAUS Verwaltungs GmbH,"Übernahme der Komplementärstellung bei der NATURA-HAUS GmbH & Co. KG mit dem Sitz in Oberleichtersbach, deren Unternehmensgegenstand Holzbau, Zimmerei, Dachdeckerei, Bau- und Möbelschreinerei ist."
Kadans Science Partner III GE GmbH,"Der Erwerb und die Verwaltung sowie die Entwicklung von Immobilien. Die Gesellschaft ist zu allen Geschäften und Maßnahmen berechtigt, die notwendig oder nützlich erscheinen, um den Gesellschaftszweck zu erreichen, sie darf sich auch an anderen Unternehmen im Inund Ausland beteiligen oder andere Unternehmen erwerben. Die Gesellschaft ist berechtigt, Zweigniederlassungen im Inund Ausland zu errichten"
ILASS AG,"Entwicklung und Vertrieb von Software, Hardware und Erbringung von Dienstleistungen und Verwaltung eigenen Vermögens. Einschließlich Besitz und Betrieb von Gastronomischen Betrieben, Immobilien und Unternehmungen und der damit verbundenen Tätigkeiten."
INNOSNACK GmbH,"Entwicklung, Produktion und Vertrieb von Lebensmitteln."
Sylt-Security UG (haftungsbeschränkt),Gegenstand des Unternehmens ist die Übernahme von Sicherheitsdienstleistungen sowie die Durchführung/Übernahme von Personen- und Objektschutz.
SARIHAN BAU GMBH,"Die Gesellschaft kauft, verkauft, importiert und exportiert im Inund Ausland Baumaterialien jeglicher Art und eröffnet für vorgenannte Tätigkeit Geschäfte im Inund Ausland. Sie kann sich im Inund Ausland an jeglichen privaten sowie öffentlichen Versteigerungen und Submissionen beteiligen und zum Abschluß bringen. Die Niederlassung in Deutschland (einzutragen im Handelsregister des Amtsgerichts Lübeck) hat folgenden Unternehmensgegenstand: Die Niederlassung kauft, verkauft, importiert und exportiert im Inund Ausland Baumaterialien jeglicher Art, führt Putz- und Maurerarbeiten jeglicher Art aus und ist berechtigt, für vorgenannte Tätigkeiten Geschäfte in Deutschland zu eröffnen. Sie kann sich in Deutschland an jeglichen privaten sowie öffentlichen Versteigerungen und Submissionen beteiligen und zum Abschluß bringen."
GSG Ingenieurbüro und Photovoltaik GmbH,"Montage, Instandhaltung, Betrieb und Verwaltung von Anlagen der erneuerbaren Energien."
Weßels Cargo GmbH,Die Ausführung von Speditions- und Logistikdienstleistungen sowie die Ausführung von Lageristik-Dienstleistung.
Brömmel & Partner GmbH,"Die Vermittlung des Abschlusses und Nachweis der Gelegenheit zum Abschluß von Verträgen über Grundstücke, grundstücksgleiche Rechte, Wohnräume, gewerbliche Räume und Darlehen, die Vermittlung des Abschlusses und Nachweis der Gelegenheit zum Abschluß von Verträgen über den Erwerb von Anteilscheinen einer Kapitalgesellschaft, ausländischen Investmentanteilen, sonstigen öffentlich angebotenen Vermögensanlagen, die für die gemeinsame Rechnung der Anleger verwaltet werden, öffentlich angebotenen Anteilen an einer Kapitalgesellschaft oder Kommanditgesellschaft und von verbrieften Forderungen gegen eine Kapitalgesellschaft oder Kommanditgesellschaft, die Vorbereitung und Durchführung von Bauvorhaben als Bauherr in eigenem Namen für eigene Rechnung oder fremde Rechnung unter Verwendung von Vermögenswerten von Erwerbern, Mietern, Pächtern, sonstigen Nutzungsberechtigten und von Bewerbern um Erwerbs- und Nutzungsrechte, die wirtschaftliche Vorbereitung und Durchführung von Bauvorhaben als Baubetreuer im fremden Namen und für fremde Rechnung."
